Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Attend Rate Pct,Days Attended Cnt,Days Member Cnt,Fewer 5 Pct,Fewer 5 Cnt,More 20 Pct,More 20 Cnt,More 90 Member Cnt,Chronic Absentee Cnt,Chronic Absentee Denom,Chronic Absentee Pct,Create Date
2025,01,Allegany,0301,Flintstone Elementary,Elementary,93.2,27174.0,29158.0,23.2,38,14.6,24,164,41,208,19.7,20250924
2025,01,Allegany,0401,South Penn Elementary,Elementary,89.5,54333.5,60721.0,11.9,40,32.1,108,336,193,440,43.9,20250924
2025,01,Allegany,0402,John Humbird Elementary,Elementary,90.4,28121.0,31102.0,14.4,25,30.5,53,174,87,228,38.2,20250924
2025,01,Allegany,0405,Fort Hill High,High,86.2,99164.0,115069.0,14.3,92,38.0,245,645,313,690,45.4,20250924
2025,01,Allegany,0406,Washington Middle,Middle,88.4,90355.0,102199.0,14.4,83,34.6,199,575,260,608,42.8,20250924
2025,01,Allegany,0502,Northeast Elementary,Elementary,92.7,35681.5,38484.0,23.7,51,19.1,41,215,63,271,23.2,20250924
2025,01,Allegany,0504,Braddock Middle,Middle,90.1,86941.5,96470.0,15.9,85,24.3,130,536,197,578,34.1,20250924
2025,01,Allegany,0601,Center for Career & Technical Education,High,89.4,47321.5,52961.0,11.4,34,27.9,83,298,115,303,38.0,20250924
2025,01,Allegany,0603,West Side Elementary,Elementary,92.5,40732.0,44028.0,21.5,53,16.6,41,247,84,319,26.3,20250924
2025,01,Allegany,0606,Allegany High,High,88.3,110406.5,124991.0,14.3,100,29.7,207,698,307,745,41.2,20250924
2025,01,Allegany,0701,Cresaptown Elementary,Elementary,92.8,32342.5,34835.0,15.4,30,14.9,29,195,51,243,21.0,20250924
2025,01,Allegany,0702,Bel Air Elementary,Elementary,93.8,27839.5,29676.0,28.1,47,10.8,18,167,34,208,16.3,20250924
2025,01,Allegany,0801,Westernport Elementary,Elementary,91.8,30049.0,32719.0,17.3,32,24.9,46,185,72,236,30.5,20250924
2025,01,Allegany,0802,Westmar Middle,Middle,91.4,41459.5,45359.0,15.7,40,22.8,58,254,86,265,32.5,20250924
2025,01,Allegany,1001,George's Creek Elementary,Elementary,92.6,29395.0,31751.0,16.9,30,18.0,32,178,63,246,25.6,20250924
2025,01,Allegany,1101,Frost Elementary,Elementary,93.1,30502.5,32771.0,25.1,46,13.7,25,183,47,224,21.0,20250924
2025,01,Allegany,1301,Mount Savage Middle,Middle,90.6,65220.0,71980.0,13.9,56,22.4,90,402,131,422,31.0,20250924
2025,01,Allegany,1302,Mt. Savage Elementary,Elementary,93.6,28161.0,30075.0,16.5,28,12.4,21,170,41,202,20.3,20250924
2025,01,Allegany,2404,Mountain Ridge High School,High,88.4,115292.0,130444.0,14.5,106,33.6,245,729,311,769,40.4,20250924
2025,01,Allegany,2801,Beall Elementary,Elementary,92.1,49230.5,53445.0,19.1,57,20.1,60,298,112,367,30.5,20250924
2025,01,Allegany,2901,Cash Valley Elementary,Elementary,91.5,31161.0,34043.0,16.7,31,20.4,38,186,70,234,29.9,20250924
2025,01,Allegany,2902,Parkside Elementary,Elementary,93.6,27528.5,29425.0,23.0,38,11.5,19,165,43,220,19.5,20250924
2025,01,Allegany,A,All Allegany Schools,Elementary,92.2,472251.5,512233.0,18.9,542,19.9,571,2873,964,3563,27.1,20250924
2025,01,Allegany,A,All Allegany Schools,Middle,89.9,283976.0,316008.0,15.0,266,27.2,482,1770,657,1846,35.6,20250924
2025,01,Allegany,A,All Allegany Schools,High,87.9,372184.0,423465.0,14.0,331,33.0,781,2370,1031,2486,41.5,20250924
2025,01,Allegany,A,All Allegany Schools,All,90.1,1128411.5,1251706.0,16.2,1139,26.2,1834,7013,2652,7895,33.6,20250924
2025,02,Anne Arundel,1023,Brooklyn Park Middle,Middle,91.9,129763.5,141262.0,22.2,173,22.3,174,781,244,832,29.3,20250924
2025,02,Anne Arundel,1033,Glen Burnie High,High,89.4,352981.5,394737.0,19.8,436,27.1,597,2199,842,2374,35.5,20250924
2025,02,Anne Arundel,1043,Corkran Middle School,Middle,91.5,90433.0,98821.0,14.3,78,21.8,119,546,201,595,33.8,20250924
2025,02,Anne Arundel,1053,Lindale Middle,Middle,93.3,148190.0,158787.0,26.9,236,14.6,128,878,201,925,21.7,20250924
2025,02,Anne Arundel,1063,Marley Middle,Middle,92.6,166200.0,179531.0,22.6,226,17.4,174,1001,266,1078,24.7,20250924
2025,02,Anne Arundel,1082,Belle Grove Elementary,Elementary,92.3,36328.0,39369.0,14.2,30,18.9,40,212,85,292,29.1,20250924
2025,02,Anne Arundel,1092,Brooklyn Park Elementary,Elementary,92.8,58192.5,62739.0,22.6,79,17.8,62,349,117,430,27.2,20250924
2025,02,Anne Arundel,1112,George T. Cromwell Elementary,Elementary,92.1,53635.0,58214.0,21.0,68,20.7,67,324,113,418,27.0,20250924
2025,02,Anne Arundel,1122,Freetown Elementary,Elementary,91.4,66480.0,72717.0,16.4,67,25.7,105,408,185,518,35.7,20250924
2025,02,Anne Arundel,1132,Glendale Elementary,Elementary,93.4,56894.0,60931.0,22.9,77,12.8,43,336,94,430,21.9,20250924
2025,02,Anne Arundel,1142,Hilltop Elementary,Elementary,92.8,74256.0,80022.0,25.3,113,18.8,84,446,154,589,26.1,20250924
2025,02,Anne Arundel,1152,Linthicum Elementary,Elementary,93.0,66778.5,71812.0,21.5,85,15.2,60,396,113,508,22.2,20250924
2025,02,Anne Arundel,1162,Marley Elementary,Elementary,92.1,80732.5,87621.0,22.0,107,19.5,95,487,184,629,29.3,20250924
