Year,Description,Count,Population,Rate_Per_1k
2015,AGG. ASSAULT,4734,622831,7.600777739065654
2015,HOMICIDE,342,622831,0.5491056161302182
2015,RAPE,289,622831,0.46401030134980437
2015,ROBBERY,4713,622831,7.567060727548886
2016,AGG. ASSAULT,5117,615542,8.312998950518406
2016,HOMICIDE,317,615542,0.5149932904659633
2016,RAPE,296,615542,0.4808770157032339
2016,ROBBERY,5592,615542,9.084676593961094
2017,AGG. ASSAULT,5863,610853,9.598053868934096
2017,HOMICIDE,339,610853,0.5549616683555618
2017,RAPE,381,610853,0.6237179812491712
2017,ROBBERY,6187,610853,10.128459711256227
2018,AGG. ASSAULT,5628,603241,9.32960458589519
2018,HOMICIDE,307,603241,0.5089176630898762
2018,RAPE,366,603241,0.6067226862895593
2018,ROBBERY,5516,603241,9.143940813041555
2019,AGG. ASSAULT,5731,594601,9.638396168186734
2019,HOMICIDE,348,594601,0.5852664223571773
2019,RAPE,319,594601,0.5364942204940792
2019,ROBBERY,5160,594601,8.678088331502975
2020,AGG. ASSAULT,5343,583189,9.161695436642324
2020,HOMICIDE,332,583189,0.5692837141989989
2020,RAPE,300,583189,0.5144129947581315
2020,ROBBERY,3588,583189,6.1523794173072535
2021,AGG. ASSAULT,5652,576575,9.802714304296925
2021,HOMICIDE,344,576575,0.5966266314009453
2021,RAPE,293,576575,0.5081732645362702
2021,ROBBERY,3868,576575,6.708580843775745
2022,AGG. ASSAULT,6124,570663,10.73137736282184
2022,HOMICIDE,336,570663,0.5887888298347711
2022,RAPE,244,570663,0.4275728407133457
2022,ROBBERY,4318,570663,7.566637402459945
2023,AGG. ASSAULT,5914,567517,10.420833208520625
2023,HOMICIDE,262,567517,0.46166017934264525
2023,RAPE,283,567517,0.49866347616018547
2023,ROBBERY,4408,567517,7.767168208177024
2024,AGG. ASSAULT,5432,568271,9.558819647668102
2024,HOMICIDE,194,568271,0.3413864159881465
2024,RAPE,358,568271,0.6299811181636931
2024,ROBBERY,3256,568271,5.7296606724608505
2025,AGG. ASSAULT,4879,568271,8.585692389722508
2025,HOMICIDE,133,568271,0.23404326456919322
2025,RAPE,267,568271,0.4698462529321398
2025,ROBBERY,2322,568271,4.0860786490952385
