DATE,OFFENSE
1/1/15,ASSAULT W/DANGEROUS WEAPON
1/1/15,ROBBERY
1/1/15,ASSAULT W/DANGEROUS WEAPON
1/1/15,ASSAULT W/DANGEROUS WEAPON
1/1/15,ROBBERY
1/1/15,ASSAULT W/DANGEROUS WEAPON
1/1/15,ROBBERY
1/1/15,SEX ABUSE
1/1/15,ROBBERY
1/1/15,ROBBERY
1/1/15,ROBBERY
1/1/15,ROBBERY
1/1/15,ROBBERY
1/1/15,ASSAULT W/DANGEROUS WEAPON
1/1/15,ASSAULT W/DANGEROUS WEAPON
1/1/15,ASSAULT W/DANGEROUS WEAPON
1/1/15,SEX ABUSE
1/1/15,ASSAULT W/DANGEROUS WEAPON
1/1/15,ASSAULT W/DANGEROUS WEAPON
1/1/15,ASSAULT W/DANGEROUS WEAPON
1/1/15,ROBBERY
1/1/15,ROBBERY
1/1/15,ROBBERY
1/1/15,ROBBERY
1/1/15,SEX ABUSE
1/1/15,ROBBERY
1/2/15,SEX ABUSE
1/2/15,ROBBERY
1/2/15,ASSAULT W/DANGEROUS WEAPON
1/2/15,ASSAULT W/DANGEROUS WEAPON
1/2/15,ASSAULT W/DANGEROUS WEAPON
1/2/15,ASSAULT W/DANGEROUS WEAPON
1/2/15,ASSAULT W/DANGEROUS WEAPON
1/2/15,ASSAULT W/DANGEROUS WEAPON
1/2/15,ROBBERY
1/2/15,ASSAULT W/DANGEROUS WEAPON
1/2/15,ROBBERY
1/2/15,ASSAULT W/DANGEROUS WEAPON
1/2/15,ASSAULT W/DANGEROUS WEAPON
1/3/15,ROBBERY
1/3/15,ASSAULT W/DANGEROUS WEAPON
1/3/15,ASSAULT W/DANGEROUS WEAPON
1/3/15,ROBBERY
1/3/15,ROBBERY
1/3/15,ASSAULT W/DANGEROUS WEAPON
1/3/15,ROBBERY
1/3/15,ROBBERY
1/3/15,ROBBERY
1/3/15,ROBBERY
1/3/15,HOMICIDE
1/4/15,ROBBERY
1/4/15,ASSAULT W/DANGEROUS WEAPON
1/4/15,ASSAULT W/DANGEROUS WEAPON
1/4/15,ROBBERY
1/4/15,ASSAULT W/DANGEROUS WEAPON
1/4/15,ROBBERY
1/4/15,ROBBERY
1/4/15,SEX ABUSE
1/4/15,ROBBERY
1/4/15,ROBBERY
1/4/15,ROBBERY
1/4/15,ROBBERY
1/5/15,ROBBERY
1/5/15,ROBBERY
1/5/15,ASSAULT W/DANGEROUS WEAPON
1/5/15,ASSAULT W/DANGEROUS WEAPON
1/5/15,ASSAULT W/DANGEROUS WEAPON
1/5/15,ASSAULT W/DANGEROUS WEAPON
1/5/15,ROBBERY
1/5/15,ROBBERY
1/5/15,ROBBERY
1/5/15,ROBBERY
1/5/15,ROBBERY
1/5/15,ROBBERY
1/5/15,ROBBERY
1/6/15,ASSAULT W/DANGEROUS WEAPON
1/6/15,ASSAULT W/DANGEROUS WEAPON
1/6/15,ASSAULT W/DANGEROUS WEAPON
1/6/15,ROBBERY
1/6/15,ROBBERY
1/6/15,ROBBERY
1/6/15,ROBBERY
1/6/15,ROBBERY
1/6/15,SEX ABUSE
1/6/15,ASSAULT W/DANGEROUS WEAPON
1/6/15,ROBBERY
1/6/15,ROBBERY
1/6/15,SEX ABUSE
1/6/15,ASSAULT W/DANGEROUS WEAPON
1/6/15,ROBBERY
1/6/15,SEX ABUSE
1/7/15,ROBBERY
1/7/15,ROBBERY
1/7/15,ASSAULT W/DANGEROUS WEAPON
1/7/15,ROBBERY
1/7/15,ASSAULT W/DANGEROUS WEAPON
1/7/15,ROBBERY
1/8/15,ASSAULT W/DANGEROUS WEAPON
1/8/15,ROBBERY
1/8/15,ROBBERY
1/8/15,ROBBERY
1/8/15,ROBBERY
1/8/15,ASSAULT W/DANGEROUS WEAPON
1/8/15,ROBBERY
1/8/15,ROBBERY
1/8/15,HOMICIDE
1/9/15,ROBBERY
1/9/15,ASSAULT W/DANGEROUS WEAPON
1/9/15,ASSAULT W/DANGEROUS WEAPON
1/9/15,ROBBERY
1/9/15,ROBBERY
1/9/15,ROBBERY
1/9/15,ROBBERY
1/9/15,ROBBERY
1/9/15,ROBBERY
1/9/15,ASSAULT W/DANGEROUS WEAPON
1/9/15,ROBBERY
1/9/15,ASSAULT W/DANGEROUS WEAPON
1/10/15,ASSAULT W/DANGEROUS WEAPON
1/10/15,ROBBERY
1/10/15,ROBBERY
1/10/15,ASSAULT W/DANGEROUS WEAPON
1/10/15,ROBBERY
1/10/15,ROBBERY
1/10/15,ASSAULT W/DANGEROUS WEAPON
1/10/15,ASSAULT W/DANGEROUS WEAPON
1/10/15,ASSAULT W/DANGEROUS WEAPON
1/10/15,ASSAULT W/DANGEROUS WEAPON
1/10/15,ASSAULT W/DANGEROUS WEAPON
1/10/15,ROBBERY
1/11/15,ROBBERY
1/11/15,ASSAULT W/DANGEROUS WEAPON
1/11/15,ROBBERY
1/11/15,ASSAULT W/DANGEROUS WEAPON
1/11/15,ROBBERY
1/11/15,ROBBERY
1/11/15,ROBBERY
1/11/15,ROBBERY
1/11/15,ROBBERY
1/11/15,ROBBERY
1/11/15,HOMICIDE
1/11/15,ASSAULT W/DANGEROUS WEAPON
1/11/15,HOMICIDE
1/11/15,ASSAULT W/DANGEROUS WEAPON
1/11/15,ASSAULT W/DANGEROUS WEAPON
1/11/15,ASSAULT W/DANGEROUS WEAPON
1/11/15,ASSAULT W/DANGEROUS WEAPON
1/11/15,ASSAULT W/DANGEROUS WEAPON
1/11/15,ASSAULT W/DANGEROUS WEAPON
1/11/15,ROBBERY
1/11/15,ROBBERY
1/12/15,ROBBERY
1/12/15,ROBBERY
1/12/15,ROBBERY
1/12/15,ROBBERY
1/12/15,ASSAULT W/DANGEROUS WEAPON
1/12/15,ROBBERY
1/12/15,ASSAULT W/DANGEROUS WEAPON
1/12/15,SEX ABUSE
1/12/15,ROBBERY
1/12/15,HOMICIDE
1/12/15,ROBBERY
1/13/15,ASSAULT W/DANGEROUS WEAPON
